Wall time,Step,Value
1592836712.7458692,684,0.9931600093841553
1592836713.0868704,1548,0.9845200181007385
1592836713.1328664,1656,0.9834399819374084
1592836713.526874,2592,0.9740800261497498
1592836713.8638659,3420,0.9657999873161316
1592836714.814866,5724,0.9427599906921387
1592836714.957876,6048,0.939520001411438
1592836715.8848665,8280,0.9172000288963318
1592836715.9518642,8460,0.9154000282287598
1592836716.2408643,9216,0.9078400135040283
1592836716.4958646,9864,0.9013599753379822
1592836720.9838634,11124,0.888759970664978
1592836721.322863,11196,0.8880400061607361
1592836722.683862,11484,0.8851600289344788
1592836743.4119077,15192,0.8480799794197083
1592836750.969903,16596,0.8340399861335754
1592836753.7769058,17100,0.8289999961853027
1592836767.259713,19332,0.8066800236701965
1592836772.7700603,20304,0.7969599962234497
1592836775.9110591,20880,0.7911999821662903
1592836777.3040597,21132,0.7886800169944763
1592836786.8800716,22860,0.771399974822998
1592836789.5030558,23328,0.7667199969291687
1592836792.3710554,23832,0.761680006980896
1592836794.4020538,24192,0.758080005645752
1592836803.424052,25740,0.7426000237464905
1592836805.0780509,26028,0.7397199869155884
1592836814.4217935,27576,0.7242400050163269
1592836815.6997912,27792,0.7220799922943115
1592836818.7357893,28296,0.7170400023460388
1592836819.1717916,28368,0.7163199782371521
1592836822.4147878,28908,0.710919976234436
1592836823.7253294,29124,0.7087600231170654
1592836829.7799125,30132,0.6986799836158752
1592836854.9030774,34092,0.6590800285339355
1592836860.8522766,35028,0.6497200131416321
1592836861.1232696,35064,0.6493600010871887
1592836862.872275,35280,0.6471999883651733
1592836869.2230542,36252,0.6374800205230713
1592836871.2750547,36576,0.6342399716377258
1592836882.429051,38340,0.616599977016449
1592836883.113049,38448,0.6155200004577637
1592836889.2480464,39420,0.6057999730110168
1592836891.914047,39816,0.6018400192260742
1592836905.1807232,41868,0.5813199877738953
1592836909.6409492,42552,0.5744799971580505
1592836929.2834616,45468,0.5453199744224548
1592836942.9839833,47448,0.5255200266838074
1592836943.6999853,47556,0.5244399905204773
1592836947.2929838,48060,0.5194000005722046
1592836948.2775023,48204,0.5179600119590759
1592836960.2385592,49932,0.5006800293922424
1592836962.9535584,50184,0.4981600046157837
1592836968.3576124,50976,0.4902400076389313
1592836971.3570454,51408,0.4859200119972229
1592836973.7964504,51768,0.48232001066207886
1592836981.43403,52848,0.47152000665664673
1592836984.2870252,53244,0.4675599932670593
1592836987.8020236,53748,0.4625200033187866
1592836995.813022,54900,0.45100000500679016
1592837003.1355402,55944,0.4405600130558014
1592837007.303669,56520,0.43479999899864197
1592837011.563189,57096,0.42904001474380493
1592837012.8549383,57240,0.4275999963283539
1592837017.1944876,57852,0.4214800000190735
1592837026.1624844,59112,0.40887999534606934
1592837039.3995144,60948,0.39052000641822815
1592837044.527513,61596,0.3840399980545044
1592837046.892511,61920,0.3808000087738037
1592837050.5635102,62424,0.3757599890232086
