Wall time,Step,Value
1592836712.7468822,684,2399.983154296875
1592836713.0868704,1548,2400.32666015625
1592836713.1328664,1656,2399.868896484375
1592836713.526874,2592,3000.754150390625
1592836713.8638659,3420,2250.029052734375
1592836714.814866,5724,2249.258056640625
1592836714.957876,6048,2400.021484375
1592836715.8848665,8280,2570.87060546875
1592836715.9518642,8460,2769.736328125
1592836716.2408643,9216,3000.277099609375
1592836716.4958646,9864,2571.2646484375
1592836720.9838634,11124,246.57508850097656
1592836721.322863,11196,191.48963928222656
1592836722.683862,11484,214.28726196289062
1592836743.4119077,15192,190.4777374267578
1592836750.969903,16596,194.597412109375
1592836753.7769058,17100,133.33404541015625
1592836767.259713,19332,180.90289306640625
1592836772.7700603,20304,179.1044921875
1592836775.912061,20880,187.49961853027344
1592836777.3040597,21132,177.34129333496094
1592836786.8800716,22860,187.49053955078125
1592836789.5030558,23328,179.9990997314453
1592836792.3720558,23832,176.47018432617188
1592836794.4020538,24192,177.34109497070312
1592836803.424052,25740,173.91343688964844
1592836805.0780509,26028,175.6102294921875
1592836814.4217935,27576,166.66661071777344
1592836815.6997912,27792,170.6178741455078
1592836818.7357893,28296,165.9008026123047
1592836819.1717916,28368,163.6354522705078
1592836822.4147878,28908,165.89988708496094
1592836823.7253294,29124,167.44248962402344
1592836829.7799125,30132,171.4291229248047
1592836854.9030774,34092,161.4349365234375
1592836860.8522766,35028,143.31103515625
1592836861.1232696,35064,132.83740234375
1592836862.872275,35280,146.3414306640625
1592836869.2230542,36252,167.44192504882812
1592836871.2750547,36576,158.5894775390625
1592836882.429051,38340,155.84274291992188
1592836883.113049,38448,158.59046936035156
1592836889.2480464,39420,156.52188110351562
1592836891.914047,39816,124.99829864501953
1592836905.1807232,41868,153.8471221923828
1592836909.641957,42552,154.50735473632812
1592836929.2834616,45468,150.0004425048828
1592836942.9839833,47448,147.54287719726562
1592836943.6999853,47556,152.5432586669922
1592836947.2939823,48060,148.14944458007812
1592836948.2775023,48204,150.2998046875
1592836960.2385592,49932,146.34341430664062
1592836962.9535584,50184,145.16107177734375
1592836968.3576124,50976,146.3428497314453
1592836971.3570454,51408,143.34136962890625
1592836973.7964504,51768,149.37881469726562
1592836981.43403,52848,123.28704071044922
1592836984.288025,53244,144.0006866455078
1592836987.8020236,53748,141.73297119140625
1592836995.813022,54900,146.3408660888672
1592837003.1355402,55944,143.99972534179688
1592837007.303669,56520,136.88113403320312
1592837011.563189,57096,114.65032958984375
1592837012.8549383,57240,142.85830688476562
1592837017.1944876,57852,138.995849609375
1592837026.1624844,59112,138.99546813964844
1592837039.3995144,60948,141.1752166748047
1592837044.527513,61596,133.82968139648438
1592837046.892511,61920,137.40553283691406
1592837050.5635102,62424,137.929443359375
1592837051.0815094,62496,141.73204040527344
1592837051.8855097,62604,134.3286590576172
1592837063.447201,64188,138.99661254882812
1592837075.6277165,65808,135.8492431640625
1592837080.454234,66456,133.33311462402344
1592837082.8847988,66780,136.88323974609375
