Wall time,Step,Value
1593172072.0550444,1548,0.08794694393873215
1593172078.4667363,6048,0.1071009710431099
1593172079.4068344,8280,0.1031465008854866
1593172079.4539254,8460,0.10225024074316025
1593172107.0271463,17100,0.1945447027683258
1593172115.2357676,19332,0.1992799937725067
1593172119.6890688,20880,0.2104693055152893
1593172120.535591,21132,0.20721620321273804
1593172125.8128605,22860,0.21099621057510376
1593172127.2841594,23328,0.21335014700889587
1593172134.8491473,25740,0.21650776267051697
1593172147.8586252,29124,0.2716889977455139
1593172172.246151,36540,0.2946496903896332
1593172216.4297035,48024,0.3749254047870636
1593172223.5628421,49896,0.3986070156097412
1593172225.3001657,50148,0.3919502794742584
1593172231.2264597,51732,0.3875783681869507
1593172266.026808,60912,0.4354005753993988
1593172272.0257611,62460,0.437168687582016
1593172272.4347517,62568,0.4341203272342682
1593172293.1917052,67608,0.4821004867553711
1593172299.1604805,69048,0.4849351942539215
1593172318.0360107,73332,0.5536379814147949
1593172362.6430695,83088,0.5640529990196228
1593172376.0360553,86040,0.5563471913337708
1593172391.9407296,89496,0.6206823587417603
1593172392.1087477,89532,0.6242331266403198
1593172429.676808,96696,0.6529033780097961
1593172498.3471467,109404,0.6775888800621033
1593172536.1737516,116316,0.6479904651641846
1593172539.4544735,116892,0.6548219323158264
1593172551.6603913,119016,0.6572574377059937
1593172619.7948668,130284,0.6967082619667053
1593172620.234669,130356,0.6836010813713074
1593172631.3990004,132156,0.6795399188995361
1593172647.411014,134712,0.6570908427238464
1593172665.454084,137592,0.6948564648628235
1593172696.7168362,142452,0.6656279563903809
1593172787.1758945,155448,0.6699927449226379
1593172808.5528312,158436,0.6527946591377258
1593172832.5919514,161748,0.6904669404029846
1593172837.0279894,162360,0.6905450820922852
1593172881.5326786,168372,0.6941940784454346
1593172909.7216902,172404,0.6964759230613708
1593172954.2559943,178992,0.6765045523643494
1593172995.2030582,184860,0.7066516280174255
1593173049.7342005,192456,0.6464125514030457
1593173053.398708,192960,0.6562999486923218
1593173152.5496638,206064,0.7152805328369141
1593173191.586223,211140,0.7009094953536987
1593173204.324656,212688,0.7086548805236816
1593173228.94065,215676,0.6844667196273804
1593173292.5246093,223236,0.6883191466331482
1593173298.3587167,223920,0.70025634765625
1593173408.8749049,236700,0.6726843118667603
1593173451.3925917,241200,0.7051602005958557
1593173455.565332,241632,0.705191969871521
1593173505.2978926,246780,0.697440505027771
1593173547.4760013,250812,0.6724007725715637
1593173615.350162,257616,0.6894549131393433
