Wall time,Step,Value
1594809712.0351238,1548,0.5551389455795288
1594809713.1613703,6048,0.564859926700592
1594809713.74266,8280,0.6064086556434631
1594809713.798488,8460,0.6124922633171082
1594809736.9351902,17100,0.7033122181892395
1594809744.0143802,19332,0.7054085731506348
1594809749.2034154,20880,0.7250535488128662
1594809750.021131,21132,0.7314855456352234
1594809755.7787077,22860,0.751454770565033
1594809757.3546064,23328,0.7517094016075134
1594809765.3502395,25740,0.7549146413803101
1594809777.3338227,29124,0.7663190960884094
1594809804.7980886,36540,0.7758162617683411
1594809853.1013436,48024,0.8217076659202576
1594809861.5381923,49896,0.8215452432632446
1594809863.2364652,50148,0.8203654885292053
1594809870.1040332,51732,0.8151862621307373
1594809906.9864483,60912,0.8298770189285278
1594809913.2859669,62460,0.8349541425704956
1594809913.720184,62568,0.8339177966117859
1594809935.101549,67608,0.8498640656471252
1594809941.7732668,69048,0.847761869430542
1594809961.6540334,73332,0.8443323969841003
1594810009.4627922,83088,0.8856506943702698
1594810024.5656552,86040,0.8694594502449036
1594810042.0304532,89496,0.8893101215362549
1594810042.2084076,89532,0.8911968469619751
1594810078.7467606,96696,0.8800988793373108
1594810157.5362842,109404,0.8966490626335144
1594810203.1810706,116316,0.8828076720237732
1594810206.8340747,116892,0.8878973126411438
1594810220.861186,119016,0.889050304889679
1594810298.0275402,130284,0.9042479991912842
1594810298.5202692,130356,0.9044126272201538
1594810311.0570521,132156,0.908174455165863
1594810328.7820823,134712,0.8980960249900818
1594810350.0995815,137592,0.9039323329925537
1594810386.5194244,142452,0.9041070342063904
1594810488.2730575,155448,0.9157460331916809
1594810512.2925367,158436,0.9177665710449219
1594810539.0837903,161748,0.9191334247589111
1594810543.794168,162360,0.9201148152351379
1594810591.1400614,168372,0.9109758138656616
1594810624.1811905,172404,0.9077249765396118
1594810678.9525912,178992,0.9230585098266602
1594810729.3161254,184860,0.9061554670333862
1594810796.3736033,192456,0.9111022353172302
1594810800.9470062,192960,0.9124151468276978
1594810923.6108277,206064,0.9099918603897095
1594810971.9708295,211140,0.9042028188705444
1594810987.4412863,212688,0.9185235500335693
1594811016.9114056,215676,0.9151135683059692
1594811090.6392078,223236,0.9159198999404907
1594811097.5848844,223920,0.9147831201553345
1594811232.0076084,236700,0.9261223673820496
1594811278.070618,241200,0.930972695350647
1594811282.5431616,241632,0.9336636066436768
1594811337.079653,246780,0.9201890230178833
1594811382.9629233,250812,0.9241048097610474
1594811457.0745373,257616,0.9203718900680542
1594811549.0781047,265788,0.9266611933708191
1594811580.8263938,268596,0.9229159355163574
1594811582.0551023,268704,0.9204379320144653
1594811601.8792546,270432,0.9177405834197998
1594811724.768675,280764,0.9200127720832825
1594811739.4948106,282024,0.9186043739318848
1594811807.67143,287712,0.9152054190635681
1594811843.8558764,290412,0.9137113690376282
1594811893.9143257,294516,0.9226421117782593
1594811912.120115,295992,0.9183917045593262
1594811980.0295131,301104,0.9150703549385071
1594812041.100016,305964,0.9168133735656738
1594812045.671368,306324,0.9176042079925537
1594812089.6374824,309672,0.9143089652061462
1594812222.9031742,319644,0.9187110662460327
1594812249.9470382,321696,0.9152857065200806
1594812278.0626333,323784,0.9216231107711792
1594812409.0298853,333396,0.9135524034500122
1594812514.815186,340884,0.9117296934127808
1594812558.1143036,343980,0.9060811400413513
1594812564.6365862,344448,0.906734824180603
1594812630.6334286,349164,0.9141659140586853
1594812941.2392426,369972,0.914655864238739
1594813008.3245993,374400,0.9158428907394409
